0x00000000	batchLock_63efZf()
0x12df8bba	confirmDeal(uint256,bytes32)
0x12dfe90b	setLiquidationProceeds(uint256)
0x12e0519b	blocks2Finish()
0x12e0c430	getOrderCancelled(bytes32)
0x12e135a0	setBuyCommission(uint256)
0x12e228fd	investorAddress()
0x12e23234	getAura(uint8)
0x12e26673	maxMSC()
0x12e36530	addMerkleTreeRoot(bytes32,bytes)
0x12e382b4	lockFunds(address,uint256)
0x12e3853d	total(DoublyLinkedList.Address storage)
0x12e3c9b7	SUPPORT_PERCENT()
0x12e3fe10	breed(address,uint256,uint256)
0x12e43d92	AVAILABLE_PRESALE_SUPPLY()
0x12e43da5	kycConfirmer()
0x12e4d3e7	REVENUE_PERCENT()
0x12e530aa	Hacksig(uint256)
0x12e56faf	activeTransfer()
0x12e5c654	feeCurrenciesCount(address,uint256)
0x12e6414e	getCampaignStartDateById(bytes32)
0x12e68ddf	setArmy(address)
0x12e69e02	inCaseDAIgetsStuck()
0x12e72374	releasedTo(address)
0x12e753e1	modifyContact(address,string)
0x12e7b2ba	vanilAddress()
0x12e800f1	reportDelaySec()
0x12e810f2	metricsByWallet(address)
0x12e84cf0	NEW_FEE_ACCOUNT()
0x12e8e2c3	setPlatformFee(uint256)
0x12e905b0	selfAddress()
0x12e94dda	stagedBalance(address,address,uint256)
0x12e9c53a	update(uint256,uint128,uint128,uint128,uint128,address)
0x12e9d888	removeSkillFromSale(uint256)
0x12e9db2d	get_deposit_balance(address,uint256)
0x12ea965d	icoStartBlock()
0x12eabe7e	approuver(address,uint256)
0x12eb4f9a	withdrawPeriod()
0x12eb91de	setPackQuantityFactor(uint256,uint256)
0x12eba773	isAdvisorsTokensFirstReleased()
0x12ebca9c	get_admin_list()
0x12ec0ec8	getStarTokenAddress()
0x12ecaa62	freezeAccountOf(address)
0x12ef080d	approveToken(address,address,address,uint256)
0x12ef7fe2	unarchiveModule(address)
0x12ef900b	getMaxLoanAmountAllowedByLtd()
0x12efe5ad	minDonationInWei()
0x12f05418	campaignCanceled()
0x12f11ed3	getDenyPremium(bytes32)
0x12f12573	ownerXname(bytes32)
0x12f1dbc8	signatureNonce(uint256)
0x12f20e2a	withdrawFundsToOwner(uint256)
0x12f25343	isKYCAdmin(address)
0x12f26140	setWhitelistContract(address)
0x12f2b838	updateReservedWei()
0x12f31b5f	firstTeamWithdrawal()
0x12f3d1e0	discoverResources(uint256)
0x12f4ced1	totalSupplyOfBears()
0x12f510f2	tradeHistoryAddress()
0x12f53950	refunded()
0x12f58b43	RATE_CHANGE_THRESHOLD()
0x12f601cc	cityPercentages(uint256)
0x12f62bd6	updateProperties(uint256,bytes)
0x12f63d96	lockedByUser(address,address)
0x12f6e641	okamiMaxPurchase_()
0x12f77332	rc()
0x12f7c47b	releasedAngelPESales(address)
0x12f7cf74	approve(address,uint8,uint8)
0x12f8ae31	getRedeemEst(address,uint256)
0x12f8b3db	createCrowdsale(uint256,uint256,uint256,uint256,address,address,address,address)
0x12f9b48e	investorList(uint256)
0x12fa6feb	ended()
0x12fa769f	paidAmount()
0x12fa9e05	setALEQContractAddress(address)
0x12fc41ca	shift()
0x12fde4b7	getFeeCollector()
0x12fe3162	userGroups(bytes32)
0x12febfa4	getBettingExtra(uint256)
0x12fefa28	challengeStarted()
0x130067ca	updateCostContract(address)
0x1300a53d	claimedFunds()
0x1300a6d1	timeLeft()
0x1300cc41	freezeTransferToken()
0x13012a3b	doMap(address,string)
0x1302188c	getLastDataHash()
0x1302804a	checkSurveyResult(address)
0x1302bfa6	retractMoonRaffle()
0x1302d03a	setWhitelist(address,uint256)
0x1302d0af	CESCOIN()
0x130346d2	icostart()
0x1303a484	commitment()
0x13040bc1	tokensFinalized()
0x13045155	MONTHLY_INTERNAL_VAULT_CAP()
0x13046876	isOldRecover()
0x130497ac	getCountryList()
0x1305a3fa	setNewAvailableWithdrawal(bool)
0x1305d2de	changeAllCosigners2(uint256,address[],bytes,bytes,bytes,bytes)
0x13063180	doEscape(uint32)
0x130766c5	enterLarge()
0x1307d2d7	EARLY_CONTRIBUTOR_STAKE()
0x1308281a	updateP6Fee(uint256)
0x1308c324	setAddrForPrivilege(address)
0x1308cbef	getPriceInTokenOracle(address,uint128)
0x1308d2c2	gauntletRemovable(address)
0x13097b4b	getAddressWETH()
0x130985f4	GetcrowdsaleContract()
0x1309a563	IsPaused()
0x1309d2e5	revokeTransferAdmin(address)
0x1309d3bd	RAVI_ALLOCATION()
0x1309ec43	apps(address)
0x1309f013	judgeSigns(uint256)
0x130a002b	randomDS_updateSessionPublicKeyHash(bytes32[])
0x130a8292	tradeWallet()
0x130a8acd	guesses_allowed()
0x130aeef9	ReconVaultNextStock()
0x130bcaa2	removePersonalLockMultiple(address[])
0x130c0e88	advisoryVUPDestination()
0x130c32d9	createPromoNumber(address,string,uint256)
0x130d04d0	companyHolding2y()
0x130d6927	getOrderRelevantStates(tuple[],bytes[])
0x130d7906	register(uint32)
0x130db74d	mint(uint256,string,string,string,address)
0x130e54a1	prizeshow(address)
0x130e81f3	gangBadges(uint256)
0x130fbba4	setPixelToken(uint24,uint256,uint24)
0x130fe7f0	totalEtherWon()
0x13110199	twentyEndTime()
0x13110874	preSaleFirstEtherCap()
0x1311457c	transferToken(address[],address,address,uint256)
0x13114a9d	totalFees()
0x13123d52	pickWinners(uint256)
0x13126bae	burningMode()
0x131284c8	FUNDING_START_TIMESTAMP()
0x1313b53a	transferLockBalance_1(address,uint256)
0x1314e272	addAddressesToOperators(address[])
0x1314e987	pollBallot(bytes,uint256)
0x13151981	to()
0x13155455	legacyToken()
0x13163d53	CTO_Signature()
0x1316529d	getRevision()
0x13169ab7	rewardManual(address,uint256)
0x13174093	bountyAccount()
0x131762c2	initReferrals(address[])
0x1317b559	buyshares()
0x1318b88c	GetPlayer_FromID(uint32,uint8)
0x1318cd2d	NameInt()
0x13198325	galtFee()
0x1319b880	borrowToken(uint256,uint256,address,address,bool)
0x131a0680	store(string)
0x131a2f41	phaseTwo(bytes32)
0x131ad146	getWorksStatus(bytes32)
0x131b0ae7	setIntegrationProxy(address)
0x131b81ad	transferExecutorOwnership(address)
0x131b9c04	getEarnings(address)
0x131be36c	preICOregulations()
0x131c4305	SoundcoinsAddress()
0x131d2873	isContractFrozen()
0x131de517	getKeyBlockNr(uint256)
0x131e03ba	withdrawOtherEDEX(address)
0x131e75af	OLD_LOCKER_1()
0x131e8abc	powerOneJackpot()
0x131f3eec	matchOrdersWithMaximalFill(tuple,tuple,bytes,bytes)
0x132002fc	votingDuration()
0x13212b8e	collectPrizePoolDust()
0x1321ea19	mulTransfer(uint256,address[])
0x13222d0a	payoutsETH(address)
0x13224fc5	missingTokensFallback()
0x1322bd19	writeLEXScriptWrapper(string,uint256,address)
0x1322e9d0	checkPayoutReadyState()
0x132316a2	burn_allowance(address,address)
0x13233cd9	appointAgent(address)
0x13238dd6	lastBuyer(uint256)
0x13243885	plotValue(uint256)
0x1325c502	debugSetNow(uint256)
0x13270bb8	authorizedCount()
0x132714aa	advisoryFundsWithdrawn()
0x1327290d	isAddressActivated(address)
0x13279dba	getLengthRemunerationQueue()
0x1327d383	hybridizations(uint256)
0x1327d3d8	setValidator(address)
0x1327fbe5	getPanda(uint256)
0x13280125	setItemLockDuration(uint256,uint256)
0x13284652	parliamentInquest(address)
0x13285df2	getJoinVerifier()
0x1328ec9b	getAvatar(uint256)
0x1328fd8f	getDetails(string)
0x13299604	getWallet()
0x132ac1dd	itemsForSaleCount()
0x132ae5e9	numInvestors()
0x132c8641	given()
0x132c8c9b	findFreeReferrer(address)
0x132d18aa	recordCreate(address,uint256)
0x132e63ba	PRICE_8()
0x132e8bee	batchWithdraw(uint16[])
0x132ff514	SQUAD_SIZE()
0x133095b6	transferToVC(address,uint256)
0x1331e6b0	getLastLecture(uint256)
0x1332143c	getGoldTransactionsCount(string)
0x133252a6	grantToken(uint256,address)
0x1332a42f	eliminateSDCC(address,uint256)
0x13331391	buyPreIco()
0x133323c8	setLevToken(address)
0x13332c6c	myVoteFactory()
0x133369c6	GetRigData(uint256)
0x1335b56b	GasSell()
0x1335b598	get_ptc_count(address)
0x13368364	getMarketPriceOracle(uint256)
0x1336a756	previousPeriodRate()
0x1336abdf	totalStakedAmountToken()
0x1336cff6	isAccountFreeze(address)
0x13373786	powerBalanceOf(address)
0x1337d6ed	sendFlower(address,bytes32,string,bytes16,uint256)
0x13381fbf	registrantsPaid(address)
0x1338736f	lock(uint256,uint256)
0x1338f493	isClose()
0x133922ad	setCompanyURI(string)
0x1339305f	createRandomZombie_FreeZombie()
0x1339cba2	getRemainingDaysToSecondPhase()
0x133a473e	sleep()
0x133a48f3	addDocHash(bytes32)
0x133a4900	balanceBlockNumbers(address,uint256)
0x133adab6	removeMerchant(address)
0x133af456	scoreOf(address)
0x133af8b3	getIcoTokenHoldersAddressesCount()
0x133b5ba9	honestisFort()
0x133bee5e	getAddressVars(bytes32)
0x133c5ff5	getAdminAccounts()
0x133c6588	getBPollInfo()
0x133c9dd0	withdrawEthDividends()
0x133cbe3a	setLatestToNow(address)
0x133d27e1	partner1_address()
0x133d5d4e	setMultisignWallet(address)
0x133d8555	withdrawTokenFromElc(address,uint256)
0x133e3f71	getOld_BalanceOfr(address)
0x133f1389	isSuperOwner(address)
0x133f44dc	removeVerifiedInvestor(address)
0x133f6ac0	earlyExchangeRate()
0x133f8a2f	getStockReleaseTime(address,uint256)
0x134087a2	gameLogic()
0x1340e081	withdrawITR(uint256)
0x13417a2b	LFDNetworkAddress()
0x1341aec5	updateBoolSetting(bytes32,bool)
0x13424bf0	unpause_4()
0x13429086	setIPFSData(CertsLib.Data storage,uint256,string,string)
0x13429e31	newPrice(uint256,uint256)
0x1342c0e8	VZT_WALLET()
0x13432b75	UniSwapMKRExchangeContractAddress()
0x13433b08	printFor(address,uint256,bytes16)
0x1343ed05	isStoreSet(string)
0x13470444	LPLongMargin()
0x1347b972	setICOWeek2Bonus(uint256)
0x13484ff2	migrationLock()
0x13485ff0	pWagerPrice()
0x1348ab3a	setRequiredTotal(uint256)
0x1348fdcc	changeStarttime(uint256)
0x134a04ea	breedingDB()
0x134a5330	updateTokenPrice(int128)
0x134a6bb2	feeDetails(uint256)
0x134a8d16	opentokenAllocation()
0x134abf66	sendVesting(uint256)
0x134c021b	divForTransfer()
0x134c23d1	EMPLOYEES_POOL_AMOUNT()
0x134dfcd8	recoverETH(address)
0x134e18f4	identityRegistry()
0x134e3917	setM2(address)
0x134e89f0	getArtpiecesByOwner(address)
0x134e92a8	startPreReset()
0x134f1893	goWiner()
0x134f6d3a	soloMargin()
0x134ff97e	startGame(uint32,bytes32)
0x1350acbd	PRESALE_MAX_ETH()
0x135128c2	CounterPartyDeposit()
0x13517fea	maxCost()
0x1351cf51	setAuthorizedAddress(address,bool)
0x1352d11d	_src20()
0x1352faec	setReleaseDate(uint256)
0x13533b55	hasValidPrice(address)
0x1353a5ef	createSDC(address,uint256,uint256)
0x1353e7b3	purchaseMetal(uint256,uint256)
0x1354b0af	releaseDrip()
0x13555794	getAllowedStatus(address)
0x1356c5dd	raceBet(uint8)
0x13574cd2	calculateKnowledgeBuy(uint256,uint256)
0x1357b862	contractSolidStamp()
0x13582b6e	HIDDEN_CAP()
0x135859c0	distributeICOTokens(address,uint256)
0x13586772	fightsCount()
0x1358937f	TEAM_HOLDER()
0x1359844a	winNetworkFeeBasisPoints()
0x13598b71	LightningEthereum()
0x1359cb2c	getCommissionWithdrawn(uint32)
0x135a2474	joysoWallet()
0x135aa6fd	setSigners(address[],bool)
0x135bada6	setDungeonStatus(uint256,uint256)
0x135c0701	purgeAccount(address)
0x135ca124	manufacturerRewards(bytes32)
0x135da3c2	getBal(bytes32,address)
0x135ed7bd	priceRound1()
0x135ee449	regName(string)
0x135fae64	getOwnerProprietaryData(uint256)
0x135fc676	loseHandler(address,uint8)
0x136047ab	ticketTransferers(address,uint256)
0x1361552e	createExplicit(address,bytes,bytes,bytes)
0x13618756	readnationnameXteam()
0x1362180e	setItemName(uint256,bytes32)
0x13622274	prealocateCoins()
0x13624cb6	pausePrey()
0x1362a1f0	setFormaDeAtualizacao(string)
0x13643605	crowdsaleTarget()
0x136439dd	pause(uint256)
0x1365e6a3	REBELCOINSupply()
0x1365eaaf	configure(uint256,uint256,uint256,uint256,uint8[],address)
0x1367641e	releaseAdvisorTokens()
0x1367944b	getIdByName(string)
0x13683532	getAccountCap(uint256)
0x13683cae	getAppartment(uint256)
0x1369f6fd	getCurrentOwnerBallence()
0x136a9bf7	add_exchange(string,address)
0x136b32a5	setResponsavelPeloPagamento(string)
0x136b4fea	getActiveFish(uint256,uint256)
0x136c545c	transferToProjectWallet()
0x136cc10a	userClass(address)
0x136cf5c1	deleteVestingFromStorage(address)
0x136d1057	accountBalanceCount()
0x136d5a59	giveKudos(bytes32,uint256)
0x136d6a39	getBalanceByAddress(address)
0x136dbbab	revenueFraction()
0x136e1949	buyFunderSmartToken(string,string)
0x136e1c45	suspendGame()
0x136eb583	minAcceptableWei()
0x136ef18a	allowTransfers(address[])
0x136f1016	hasBet(address)
0x136f5b5a	ordersCanMatch_(address[14],uint256[14],uint8[6],bytes,bytes,bytes,bytes,bytes,bytes)
0x136fa2d7	rateSeedStage()
0x1370128e	free()
0x13711a31	presale_allocation()
0x13712c9f	swapTokenToToken(address,address,uint256)
0x1371dab9	whitelisters(address)
0x13725147	amplifiedTokenPrices(address)
0x13730838	getCanvasPainters(uint32)
0x13730ccd	totalBalloons()
0x13734a9f	setClaimDividendPercentage(uint256)
0x1374b22d	proposalExists(uint256)
0x1374eb6f	getLockByIndex(address,uint256)
0x13754f9a	notUpgradableInStore()
0x1375fad4	getCertsByProof(string)
0x1376f2ce	setCrowdsaleStartDate(uint32)
0x137935d5	totalGuaranteedCollected()
0x1379c6e0	getICOEndDate()
0x137a1464	ifEmergencyStop()
0x137a43db	getIDAIUniROI()
0x137b3bcd	getBounsByAmount(uint256,uint256)
0x137b8721	getTierWhitelist(address,bytes32,uint256)
0x137bf798	binaryLog(uint256,Fixed192x64Math.EstimationMode)
0x137c1feb	buyCommonTTMByETH(uint256,address)
0x137ce8e3	HARD_CAP_USD()
0x137d35e9	areaPrice(uint8,uint8,uint8,uint8)
0x137d7026	abiEncode(bytes,bytes,address[])
0x137e1ba8	cardShieldUpgradeLevel(uint256)
0x137e37d9	accountGet(address)
0x137e7116	lastReapingTimeStamp()
0x13801995	getHopefulId(address)
0x138091e2	getReferrer(Player.Map storage,address)
0x1381bc9f	getQueryPrice(uint256,uint256)
0x13823365	setOneTokenInWei(uint256)
0x1382da2c	getCumulativePrice(address)
0x13844e60	totalOVCSold()
0x13856431	releaTeamAddBonus()
0x13857c1a	foundersFundMultiplier()
0x1385d24c	toggleContractActive()
0x13866efa	originId()
0x1386dc2d	orgName()
0x138716e8	root_domain()
0x13888565	surplus()
0x1388b420	oasisExchange()
0x138a7084	_4_owner()
0x138acb80	View_MediatedTransaction_Info(uint256)
0x138b3ab1	numPlots()
0x138c6a1b	STATE_BLACKLISTED()
0x138f7eab	buyBalloon(address)
0x139020d1	deedByIndex(uint256)
0x13905905	addWhiteListedAddressesInBatch(address[])
0x13905c25	hasBeenSwapped(address)
0x13907d22	abrirDoacoes()
0x1390b247	getNbSellOrder()
0x1390df6c	oldXPAAssets()
0x13912199	SET_MAX_NONCE_WALLET_CURRENCY_ACTION()
0x1391697d	weiRound1()
0x13916c2e	bidOnCraftAuction(uint256,uint256)
0x1391c5f8	EnddateICO()
0x1391fd60	raised(address)
0x13920f98	requestMortgage(address,bytes32,uint256,address,uint256,address)
0x13930cf6	setCurrentVersion(string)
0x13932337	highTimeBonusLimit()
0x13936c0a	mintWithTokenURI(uint256,address,uint256,string)
0x1394f216	addProjectManager(address)
0x1394f7c6	investorToVesting(address)
0x1394ff1c	affiliatePayment(address)
0x13954647	allowAndCallDelegated(address,uint256,bytes,address,uint8,bytes32,bytes32)
0x139580fe	charityAccts(uint256)
0x139654e0	window2StartTime()
0x13966db5	mintFee()
0x1396a254	transferTokenProportionToOrigin(address,uint256,uint256)
0x139818a1	setFrozen(address,uint256)
0x1398a5f6	getRequired()
0x1398bbf7	getRanking()
0x1398e076	lotteries(uint256)
0x13996532	gaspriceMax()
0x139b3752	_batch1_rate()
0x139c0977	boardSpot(uint256)
0x139cfab1	tournaments(bytes32)
0x139e23b5	getDividendInfo()
0x13a070b7	add_admin(address)
0x13a19e1b	initialCoach(uint256,uint256,uint8,uint256)
0x13a1da40	tgrSettingsMinimalContribution()
0x13a22af9	latest_buy_time()
0x13a2852d	setICOEndTime(uint256)
0x13a30010	refund2(address)
0x13a30013	getMarket(uint16)
0x13a3d9a1	registerDocument(string,string,string)
0x13a46827	fund(address,address,uint256,uint256,uint256)
0x13a4a119	updateReferralInfos(address,address,uint256,uint256,uint256,uint256)
0x13a4d9e9	setInviterXAddr(address)
0x13a4fd37	soldTokensIco()
0x13a517bf	eighthTeamWithdrawal()
0x13a5aac7	paymentRegularTokensPriority(uint256,uint256)
0x13a5d9e4	remaingNTRY()
0x13a666a6	hasReachedSoftCap()
0x13a6ea17	comptes(address)
0x13a7070f	withdrawDeveloperCut()
0x13a76c4c	depositEth(bytes)
0x13a7cd36	viewNodes(uint256)
0x13a91cc8	getVlsTokenAddress()
0x13a927c7	toggleMatchStartEnd(uint256,uint256)
0x13a931dc	gasForOraclizedQuery()
0x13a9cd8d	lastDETCWC()
0x13aa3de9	refundPay(uint256,uint256)
0x13aa48bf	minePepe(uint256,address)
0x13aa7b6f	viewUnclaimedDepositDividends()
0x13abdd75	ecosystemSupply()
0x13ac2bdb	addNetworkMember(address,bool,bool,bool,bytes32)
0x13aca47d	removeBugFromHunter(address,uint256)
0x13acb45b	calcDoubleBindedBlindHash3(string,address,address)
0x13ad7a7c	DiscipleVendToBidder(uint256)
0x13ad9ce1	getRepMarketCapInAttoeth()
0x13ae4522	token3MstepCAP()
0x13ae457d	mainCapInUSD()
0x13af4035	setOwner(address)
0x13afa97a	readMarketplaceConfigs()
0x13affe4f	TEAM_5()
0x13b06a70	OBERDEX(address,address,address,address,uint256,uint256,uint256)
0x13b15b24	setRoundGap(uint256)
0x13b222ba	getMyPoohs()
0x13b2c5f3	getGradeValue(uint256)
0x13b2e657	unfreezeAccount(uint256)
0x13b39b9c	approveMint(address,uint256)
0x13b3cdf6	ownersLUT(uint256)
0x13b4312f	transferCollectedFees(string,address,uint256,bytes)
0x13b44d35	receivedBalances(address)
0x13b499ce	PRE_ICO_TIER_FIRST()
0x13b4d186	recipientUpdates(bytes32,uint256)
0x13b53153	isFunding()
0x13b57686	self_last_result()
0x13b57ec0	getPingtaiInfo()
0x13b5d420	returnWebsiteData()
0x13b63f60	updateBuildingPrivacy(uint256,bool)
0x13b6969b	viteTokenAddress()
0x13b6c8a8	setListingFeeInWei(uint256)
0x13b704fe	heapSort(uint16[] storage)
0x13b7423a	setFundraiserCallData(string)
0x13b796f4	getMilestoneTimeAndRate(uint256)
0x13b84004	gameTokenAmount(address)
0x13b8ad31	membersList(uint256)
0x13b94ac8	losses(uint256,address)
0x13b96a9e	numOfSamples()
0x13bac8f2	updateStorage(string,string)
0x13baec32	calcDaiAmount(bool,uint256,uint256,uint256)
0x13baf1e6	removeToken(address,uint256)
0x13bb1311	getMatchResults()
0x13bc2635	is_address_exist(address)
0x13bd05e4	silo_addr()
0x13bd53e6	applySettings(uint8,uint256,uint256,uint256,uint256)
0x13bd9e3c	fundFoundation()
0x13bda5a1	resultVotes(address)
0x13bdbb19	getCustomer(address,address)
0x13bdeab2	assemblIndexToOwner(uint256)
0x13bdfacd	print()
0x13be31ae	preSaleDeposit()
0x13be4f9e	rejectClaim(bytes32)
0x13bfabf0	isCurrentOrPastAccountReader(address)
0x13bfcd2c	growthContract()
0x13bffc4d	withdrawOwnerEth(EvenDistroCrowdsaleLib.EvenDistroCrowdsaleStorage storage)
0x13c03159	payPlayers(uint256,uint256)
0x13c04769	submitBallot(bytes32,bytes32)
0x13c13d6b	updateMarketContract(address)
0x13c1629c	_getBlockIndexAtYear(uint256,uint256,uint256)
0x13c27b36	resetTime(address,uint256,uint256)
0x13c37e0e	getAffiliatePayment(address)
0x13c390ef	getCoins()
0x13c42ca1	getPrice(bytes1)
0x13c52111	amountOfTokens()
0x13c5d252	whitelistedRecipients(address)
0x13c7569e	playBigOrSmall(uint8,uint256)
0x13c7b80e	declared_contract_price_in_cents()
0x13c7db1a	limitOfBranch()
0x13c89a8f	getAllowedTime(bytes32)
0x13c8de46	addVault(address,bytes32)
0x13c9134b	setcoinfee(uint256)
0x13ca1464	getDHandRank(uint32)
0x13ca43a0	teamWallet1()
0x13ca6e32	superPlayers_(uint256)
0x13ca6ec3	collectMilestonePayment(uint256)
0x13cbb970	setAttributeTypeOnlyPersonal(uint256,bool)
0x13cbe86e	readParam()
0x13ccca96	limitbreak_RELEASE()
0x13cceb21	getHolderWithdrawIndex()
0x13ce3901	last_payment_date()
0x13ceb89b	getCopaMarketAddress()
0x13d033c0	cliff()
0x13d073d0	Sign(uint256,address,uint256,uint8,uint256,string)
0x13d1bdfb	priceForMateAdvertisement()
0x13d1ea1c	bonuspercentagepresale()
0x13d21b01	getItemFromBlockchain(uint256)
0x13d302f7	tokenLockedAddresses(address)
0x13d3d00e	devFundingRate()
0x13d557bc	operatorRedeemByPartition(bytes32,address,uint256,bytes,bytes)
0x13d59ca9	upgradeAddr()
0x13d5e846	redeemableCounter()
0x13d5ee74	accPartner()
0x13d5f1fe	durationOfStatusSell()
0x13d6ca73	getBuyAddress(address,uint256)
0x13d71f6e	claimPauser()
0x13d73a08	AMOUNTWAGERED()
0x13d8867c	mint(string,uint256,string,uint8,string)
0x13d8c840	tail()
0x13d9028b	Remain_burn(uint256)
0x13d92a6d	userToSellOrderIndex(address)
0x13da30b2	enableStaticCall(address,bytes4)
0x13da594d	ICOaddr()
0x13dc01bb	BKBK()
0x13ddb69a	CROWDSALE_START()
0x13ddd3ae	getTokePerWei()
0x13ddecd5	withdrawICOReserve()
0x13de214e	minimalSuccessUSDWEI()
0x13defbd9	getMyCrabs()
0x13df35d1	publicTGEStartBlockTimeStamp()
0x13e0e70d	ownerRegistry(address)
0x13e10fe7	newDoc(bytes32,address)
0x13e1f2b0	DATToken(address)
0x13e23e41	receivedLoanOf(address)
0x13e2cc6b	cashbackPercent6level3()
0x13e33fb6	calculateBonus(uint96)
0x13e3973c	closeEntity(EntityLib.Data storage,uint256)
0x13e3a4bc	totalGooProductionSnapshots(uint256)
0x13e3dcf2	claimFinalized(uint256,uint256[])
0x13e41971	setup(uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256,uint256)
0x13e464c1	delayed()
0x13e4b51f	putHash()
0x13e50ca4	totalFiatValue()
0x13e5a3b1	SetUp(uint256,address)
0x13e5d8b6	icoStartsAt()
0x13e5e26e	recirculateLateFees(uint256)
0x13e60074	OwnerRetireHodl(uint256)
0x13e65069	BONUS_2()
0x13e7323e	fundingEnd()
0x13e75206	getParentOf(uint256)
0x13e7c4d3	cancelMultipleOrders(tuple[],bytes[])
0x13e7c9d8	operators(address)
0x13e81119	purchaseTicketsWithReferral(uint256[],uint256)
0x13e8360d	commissionerAuctionComplete(uint32,uint128)
0x13e8e5d2	address2a()
0x13e97c71	tokenInterestOwed(address,address)
0x13eaabb8	bonusAddr()
0x13eae576	calFeeHightLight(address,uint256,uint256)
0x13eb44f1	getCurrentTree(address,uint256)
0x13ec8e6c	emitGladiatorBattleBlockNumberUpdated(uint256,uint256)
0x13ecfbfa	lastBuyer()
0x13ed0846	calculateReward(uint256,uint256)
0x13efe5b3	proposalDividendPerShare()
0x13f06abc	balanceFrozenTokens(address)
0x13f07317	enableStaticLogic(address)
0x13f0790c	tokensSoldWithBonus()
0x13f0ec1f	withdrawDekla(uint256,bytes)
0x13f20d76	fundDigitalMarket()
0x13f233c2	ethReceiveMainSale()
0x13f29768	addUnsoldAllocationOrder(bytes32)
0x13f3c37b	maxProcessingCap()
0x13f4318e	SetSubscriptionTo(address,int256)
0x13f44d10	isAddressWhitelisted(address)
0x13f47f24	lockedDelegatingTokens(address)
0x13f4a0ea	getWhitelist(address,address)
0x13f4b42c	pixelsPerCell()
0x13f4c7a5	INVESTOR_LOCK_DURATION()
0x13f4e977	minimumFundingGoal()
0x13f52533	capitalLedger()
0x13f56f73	changeMinInvestment(uint256)
0x13f5e4f6	getSamuraiWallet(uint256)
0x13f652fe	getText(string)
0x13f6686d	claimer(address)
0x13f6ee53	cliffAdvisorsTokens()
0x13f73570	manualyAddReferralPayer(address,address,uint256)
0x13f88e72	coinNumber()
0x13f8c578	addAuthKey(address)
0x13f8cc4a	disableDapp(bool)
0x13f94a43	getSiteTokenIds(uint256)
0x13f9cf76	disableBundlingMultitoken(uint256)
0x13fa095f	setDestinationWallet(address)
0x13fa59ff	getPlayer1(uint256)
0x13fac256	xem()
0x13faede6	cost()
0x13fb2324	EndEvent()
0x13fc5ace	depositForMySelf(uint256)
0x13fcaf54	getDepositCount(address)
0x13fdcbec	developer_Coin_Character(string)
0x13fdd2b4	TilexSupply()
0x13fe2de0	releaseLockedFund(address,uint256)
0x13ff962a	privatesaleSupply()
0x13ffdbfc	gameCountOf(address)
0x13fff718	doBet()
0x14001f4c	setSiringAuctionAddress(address)
0x14004ef3	multimint(address[],uint256[])
0x14007c6d	nextState()
0x1400d1e4	checkName(string)
0x14012549	isMainSaleTime()
0x14017c3f	miningWarAddress()
0x14019203	rounding(uint256)
0x14025dcd	cancelFee()
0x140271ac	verifyWithdrawSignature(address,address,bytes)
0x14029756	setaddress(address)
0x1402f031	triggerAttackManually(uint32)
0x1402f80d	selectTemplate(uint8)
0x14049e7c	updateUserInfor(address,bytes20,uint16,bytes32)
0x1405ee17	transactionLimits(bytes32)
0x140643b7	SET_FEE_TOTAL_ACTION()
0x1406b921	vent()
0x1406d3be	lowestGameWithoutQuorum()
0x14074135	dividendsRightsOf(address)
0x140758a9	disableServiceProvider(address,bytes)
0x1407a80a	JACKPOT_PERCENT()
0x14081e39	setEscrowFee(uint256)
0x14083532	depositVoteTokens(uint256)
0x140907a6	DisableCompensation()
0x1409b88f	getManualByAddress(address)
0x140aff6c	USEaddr()
0x140b1706	maxHLPMTMarkup()
0x140b2cdd	calculateMyRewardDecreased(uint256,uint256)
0x140b4465	executeSpendingRequests()
0x140b45bc	team2_student2()
0x140bf8e9	inquire_type_price(uint8)
0x140cc562	isCollectSignatureCorrect(address,address,uint256,bytes32,bytes32,uint8)
0x140cd7af	issueToken(address,address,uint256,uint256,uint256)
0x140d3e95	changeFiatFeeContract(address)
0x140de59b	limitMint(address,uint256)
0x140fba75	getDeveloperUrl(address)
0x14102159	presaleLimit(address)
0x14107f3c	buy(uint8)
0x1410b50d	runAllocations()
0x14111a43	isValidService(bytes32)
0x14117228	getNoteKeyByIndex(uint256)
0x1411d713	licenseIssuedTime(uint256)
0x1412409a	whitelistSetterAddress()
0x14127a3b	retrieveToken(address)
0x14127f13	setOrderFill_(bytes32,uint256)
0x14131611	setChibiForFusion(uint256,uint256)
0x14132162	batchesOwned(address,uint256)
0x14133a7c	setSaleAgent(address)
0x14135068	get_listed_gods(uint256)
0x14139904	directorB()
0x14143c91	TotalSpecialFeeTakes()
0x1415078e	requiredWeight()
0x14151f7f	calDynamicProfit(uint256,uint256)
0x1415be01	crowdsaleWeiAvailableLevels(uint256)
0x14163a83	setCrowdsaleContractAddress(address)
0x14174f33	withDraw(uint256)
0x14177dbf	setLockTokensAddress(address)
0x14178c68	stats_level(uint256)
0x14179865	logos(uint256)
0x1417b946	adminOwner()
0x14189a7e	outstandingValue()
0x1418ceb7	slateRequests(uint256)
